time;thread;label;success;code;latency;bytes;msg
2025-11-19 23:23:17.670;Linear load-ThreadStarter 1-1;Get user session;true;200;1273;712;OK
2025-11-19 23:23:19.039;Linear load-ThreadStarter 1-1;Get popular movies;true;200;91;13421;OK
2025-11-19 23:23:20.464;Linear load-ThreadStarter 1-1;Get movie;true;200;78;2969;OK
2025-11-19 23:23:20.843;Linear load-ThreadStarter 1-1;Rate movie;true;201;218;635;Created
2025-11-19 23:23:21.250;Linear load-ThreadStarter 1-1;Delete movie rating;true;200;205;710;OK
2025-11-19 23:23:21.466;Linear load-ThreadStarter 1-2;Get user session;true;200;387;712;OK
2025-11-19 23:23:21.860;Linear load-ThreadStarter 1-2;Get popular movies;true;200;86;13421;OK
2025-11-19 23:23:21.957;Linear load-ThreadStarter 1-2;Get movie;true;200;79;2389;OK
2025-11-19 23:23:22.054;Linear load-ThreadStarter 1-2;Rate movie;true;201;207;635;Created
2025-11-19 23:23:22.274;Linear load-ThreadStarter 1-2;Delete movie rating;true;200;211;710;OK
2025-11-19 23:23:22.493;Linear load-ThreadStarter 1-3;Get user session;true;200;364;712;OK
2025-11-19 23:23:22.867;Linear load-ThreadStarter 1-3;Get popular movies;true;200;81;13421;OK
2025-11-19 23:23:22.954;Linear load-ThreadStarter 1-3;Get movie;true;200;75;2389;OK
2025-11-19 23:23:23.035;Linear load-ThreadStarter 1-3;Rate movie;true;201;205;635;Created
2025-11-19 23:23:23.248;Linear load-ThreadStarter 1-3;Delete movie rating;true;200;201;710;OK
2025-11-19 23:23:23.459;Linear load-ThreadStarter 1-4;Get user session;true;200;366;712;OK
2025-11-19 23:23:23.839;Linear load-ThreadStarter 1-4;Get popular movies;true;200;84;13421;OK
2025-11-19 23:23:23.932;Linear load-ThreadStarter 1-4;Get movie;true;200;81;2389;OK
2025-11-19 23:23:24.022;Linear load-ThreadStarter 1-4;Rate movie;true;201;206;635;Created
2025-11-19 23:23:24.238;Linear load-ThreadStarter 1-4;Delete movie rating;true;200;202;710;OK
2025-11-19 23:23:24.446;Linear load-ThreadStarter 1-5;Get user session;true;200;408;712;OK
2025-11-19 23:23:24.859;Linear load-ThreadStarter 1-5;Get popular movies;true;200;103;13421;OK
2025-11-19 23:23:24.968;Linear load-ThreadStarter 1-5;Get movie;true;200;78;2088;OK
2025-11-19 23:23:25.055;Linear load-ThreadStarter 1-5;Rate movie;true;201;214;635;Created
2025-11-19 23:23:25.279;Linear load-ThreadStarter 1-5;Delete movie rating;true;200;201;710;OK
2025-11-19 23:23:25.487;Linear load-ThreadStarter 1-6;Get user session;true;200;366;712;OK
2025-11-19 23:23:25.868;Linear load-ThreadStarter 1-6;Get popular movies;true;200;80;13421;OK
2025-11-19 23:23:25.956;Linear load-ThreadStarter 1-6;Get movie;true;200;74;1987;OK
2025-11-19 23:23:26.035;Linear load-ThreadStarter 1-6;Rate movie;true;201;220;635;Created
2025-11-19 23:23:26.260;Linear load-ThreadStarter 1-6;Delete movie rating;true;200;202;710;OK
2025-11-19 23:23:26.469;Linear load-ThreadStarter 1-7;Get user session;true;200;379;712;OK
2025-11-19 23:23:26.853;Linear load-ThreadStarter 1-7;Get popular movies;true;200;87;13421;OK
